Standname,Standstatus,Kunde,Pavillon,Rechnungsnummer,Rechnungsbetrag,Standbreite,"Notizen vom Kunden",Bezahlstatus
"Brünebrede 1, B3",Verkauft,"Tim Schlautmann (Privat)",Nein,1679,"20 €",3m,"Hallo &lt;3","bezahlung ausstehend"
"Brünebrede 1, B1",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B5",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B7",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B9",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B11",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B13",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B15",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 3, B17",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 3, B19",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B21",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B23",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B25",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B27",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 7, B29",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 9, B31",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 9a, B33",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 11, B35",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 11, B37",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 15, B39",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 15, B41",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 15, B43",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 17, B45",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 17, B47",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 19, B49",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 19, B51",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 21, B53",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 21, B55",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 21, B57",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B59",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B61",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B63",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B65",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B67",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 25, B69",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 27, B71",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 27, B73",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 29, B75",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 29, B77",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 29, B79",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 31, B81",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 31, B83",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 33, B85",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 33, B87",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 33, B89",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B91",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B93",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B95",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B97",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B99",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B101",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 39, B103",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 39, B105",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 41, B107",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 43, B109",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 43, B111",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 45, B113",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 45, B115",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 45, B117",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 47, B119",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 47, B121",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 49, B123",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 49, B125",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 49, B127",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 51, B129",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 51, B131",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 55, B133",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 57, B135",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 59, B137",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B2",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B4",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B6",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B8",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B10",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B12",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B14",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B16",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B18",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B20",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B22",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 10, B24",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 10, B26",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 14, B28",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 14, B30",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 16, B32",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 16, B34",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 20, B36",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 20, B38",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 22, B40",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B42",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B44",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B46",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B48",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B50",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 26, B52",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 26, B54",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 26, B56",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 28, B58",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 28, B60",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 28, B62",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 28, B64",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 30/32, B66",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 30/32, B68",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 30/32, B70",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 30/32, B72",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 30/32, B74",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 36, B76",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 36, B78",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 38, B80",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 38, B82",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 38, B84",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 46, B86",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 48, B88",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 48, B90",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 48, B92",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 54, B94",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 54, B96",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 54, B98",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 56, B100",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 56, B102",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 58, B104",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 58, B106",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 64, B108",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 64, B110",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 64, B112",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 64, B114",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 66, B116",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 66, B118",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 1, E1",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 1, E3",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 1, E5",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 3-5, E7",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 3-5, E9",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 3-5, E11",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 3-5, E13",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 7, E15",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 11, 0",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 11, 0",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 11, 0",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 13, 0",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 15, 0",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 15, 0",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 17, E29",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 17, E31",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 17, E33",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 17, E35",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 19, E37",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 19, E39",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 21, E41",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 21, E43",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 21, E45",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 4, E2",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 6, E4",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 6, E6",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 8, E8",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 8, E10",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 10, E12",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 10, E14",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 12, E16",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 12, E18",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 14, E20",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 14, E22",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 14, E24",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 16, E26",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 16, E28",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 18, E30",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 18, E32",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 20, E34",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 20, E36",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 22, E38",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 22, E40",Frei,"Kein Kunde",-,-,-,-,-,-
"Emsstraße 22, E42",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 40, F1",Verkauft,"Tim Schlautmann (Privat)",Nein,1684,"100 €",3m,123,bezahlt
"Freckenhorster Straße 40, F3",Verkauft,"Tim Schlautmann (Privat)",Nein,1684,"100 €",3m,123,bezahlt
"Freckenhorster Straße 40, F5",Verkauft,"Tim Schlautmann (Privat)",Nein,1684,"100 €",3m,123,bezahlt
"Freckenhorster Straße 40, F7",Verkauft,"Tim Schlautmann (Privat)",Nein,1684,"100 €",3m,123,bezahlt
"Freckenhorster Straße 38, F9",Verkauft,"Tim Schlautmann (Privat)",Nein,1684,"100 €",3m,123,bezahlt
"Freckenhorster Straße 38, F11",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 36, F13",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 36, F15",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 36, F17",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 34, F19",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 32, F21",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 32, F23",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 32, F25",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 32, F27",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 28, F29",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 26, F31",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 24, F33",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 24, F35",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 24, F37",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 22, F39",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 22, F41",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 20, 0",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 20, F45",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 18, F47",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 18, F49",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 14, F51",Frei,"Kein Kunde",-,-,-,-,-,-
"Freckenhorster Straße 12, F53",Frei,"Kein Kunde",-,-,-,-,-,-
